channel_id,gracenote_id,gracenote_id_natural
PBS_KACV,49769,49769
PBS_KACV_ga_create,71359,106771
PBS_KACV_kids_main,101364,49770
PBS_KAET,25102,25102
PBS_KAET_ga_world,56725,25104
PBS_KAET_ga_nhk,111994,111994
PBS_KAET_kids_main,101364,58879
PBS_KAID,28027,28027
PBS_KAID_ga_create,71359,37205
PBS_KAID_ga_world,56725,37206
PBS_KAID_ga_nhk,111994,111994
PBS_KAID_kids_main,101364,82714
PBS_KAKM,48022,48022
PBS_KAKM_ga_create,71359,48024
PBS_KAKM_ga_world,56725,56725
PBS_KAKM_ga_fnx,82462,82462
PBS_KAKM_ga_nhk,111994,111994
PBS_KAKM_kids_main,101364,102312
PBS_KAMU,34692,34692
PBS_KAMU_kids_main,101364,55593
PBS_KAWE,35622,35622
PBS_KAWE_ga_create,71359,35628
PBS_KAWE_ga_fnx,82462,35624
PBS_KAWE_kids_main,101364,35626
PBS_KBDI,35856,35856
PBS_KBDI_ga_fnx,82462,82462
PBS_KBDI_ga_nhk,111994,101895
PBS_KBDI_kids_main,101364,101364
PBS_KBTC,34635,34635
PBS_KBTC_ga_fnx,82462,34641
PBS_KBTC_ga_nhk,111994,34639
PBS_KBTC_kids_main,101364,101364
PBS_KCOS,43992,43992
PBS_KCOS_ga_create,71359,44866
PBS_KCOS_kids_main,101364,82354
PBS_KCPT,19654,19654
PBS_KCPT_ga_create,71359,32469
PBS_KCPT_ga_nhk,111994,111994
PBS_KCPT_kids_main,101364,49773
PBS_KCSM_kids_main,101364,49773
PBS_KCTS,19631,19631
PBS_KCTS_ga_world,56725,110268
PBS_KCTS_kids_main,101364,20206
PBS_KCWC,33698,33698
PBS_KCWC_ga_create,71359,33700
PBS_KCWC_ga_fnx,82462,82462
PBS_KCWC_ga_nhk,111994,111994
PBS_KCWC_kids_main,101364,107230
PBS_KDIN,27422,27422
PBS_KDIN_ga_create,71359,106174
PBS_KDIN_ga_world,56725,60086
PBS_KDIN_kids_main,101364,48673
PBS_KEDT,36065,36065
PBS_KEDT_ga_create,71359,52345
PBS_KEDT_kids_main,101364,101364
PBS_KEET,35319,35319
PBS_KEET_ga_create,71359,67155
PBS_KEET_ga_fnx,82462,82461
PBS_KEET_ga_nhk,111994,111994
PBS_KEET_kids_main,101364,35321
PBS_KENW,34439,34439
PBS_KENW_ga_fnx,82462,101947
PBS_KENW_kids_main,101364,101364
PBS_KERA,20372,20372
PBS_KERA_ga_local_subchannel_1,98168,98168
PBS_KERA_kids_main,101364,65053
PBS_KETA,43184,43184
PBS_KETA_ga_create,71359,43188
PBS_KETA_ga_world,56725,43186
PBS_KETA_ga_nhk,111994,111994
PBS_KETA_kids_main,101364,43190
PBS_KETC,32057,32057
PBS_KETC_ga_create,71359,49623
PBS_KETC_ga_world,56725,32065
PBS_KETC_ga_nhk,111994,111994
PBS_KETC_kids_main,101364,113118
PBS_KETS,44002,44002
PBS_KETS_ga_create,71359,44775
PBS_KETS_ga_world,56725,44777
PBS_KETS_ga_nhk,111994,111994
PBS_KETS_kids_main,101364,44781
PBS_KFME,45475,45475
PBS_KFME_ga_world,56725,31721
PBS_KFME_kids_main,101364,31728
PBS_KGTF,63880,63880
PBS_KGTF_kids_main,101364,101364
PBS_KHET,49918,49918
PBS_KHET_ga_nhk,111994,111994
PBS_KHET_kids_main,101364,56048
PBS_KIXE,42680,42680
PBS_KIXE_ga_create,71359,46790
PBS_KIXE_ga_world,56725,55603
PBS_KIXE_ga_fnx,82462,82462
PBS_KIXE_ga_nhk,111994,111994
PBS_KIXE_kids_main,101364,101364
PBS_KLCS,43777,43777
PBS_KLCS_ga_create,71359,43780
PBS_KLCS_kids_main,101364,101364
PBS_KLRN,33492,33492
PBS_KLRN_ga_create,71359,44065
PBS_KLRN_ga_world,56725,35522
PBS_KLRN_ga_nhk,111994,111994
PBS_KLRN_kids_main,101364,44015
PBS_KLRU,35500,35500
PBS_KLRU_ga_create,71359,35502
PBS_KLRU_ga_world,56725,35504
