channel_id,call_sign,clean_name,original_name,city_state,city,state,station_num,unique_station_num,gracenote_id,station_id,logo_color,logo_white,Status
PBS_KAKM,KAKM,PBS AK Anchorage (KAKM) [7.1],Alaska Public Media,"Anchorage, AK",Anchorage,AK,7.1,100071,48022,241f6bfb-7b98-4cbd-af3a-3bf219bdb80f,https://image.pbs.org/stations/kakm-color-single-brand-logo-CKvfnQs.png,https://image.pbs.org/stations/kakm-white-single-brand-logo-pglOdRQ.png,Good
PBS_KUAC,KUAC,PBS AK Fairbanks (KUAC) [9.1],KUAC,"Fairbanks, AK",Fairbanks,AK,9.1,100091,44779,8d23bf48-ba7a-449b-97a4-324117f98238,https://image.pbs.org/stations/kuac-color-single-brand-logo-PWUHIg2.png,https://image.pbs.org/stations/kuac-white-single-brand-logo-uYiVvh8.png,Good
PBS_WBIQ,WBIQ,PBS AL Birmingham (WBIQ) [10.1],APT PBS,"Birmingham, AL",Birmingham,AL,10.1,110101,35108,fa2db1d4-85a0-4a75-aa3d-1f5028578d52,https://image.pbs.org/stations/wbiq-color-single-brand-logo-N8IgxM1.png,https://image.pbs.org/stations/wbiq-white-single-brand-logo-nX5hgKr.png,Good
PBS_KETS,KETS,PBS AR Little Rock (KETS) [2.1],Arkansas PBS,"Little Rock, AR",Little Rock,AR,2.1,120021,44002,b5545820-5d66-4396-9f94-b5bd58aa34d9,https://image.pbs.org/stations/kets-color-cobranded-logo-IIG0VMs.png,https://image.pbs.org/stations/kets-white-cobranded-logo-O2tkdxF.png,Good
PBS_KVZK,KVZK,PBS AS Pago Pago (KVZK) [2.0],KVZK/Channel 2,"Pago Pago, AS",Pago Pago,AS,2.0,130020,102536,70f0d0fa-9add-4770-a606-aadd8ef0f775,https://image.pbs.org/stations/kvzk-white-single-brand-logo-BrAa03i.png,https://image.pbs.org/stations/kvzk-white-single-brand-logo-BrAa03i.png,Broken
PBS_KAET,KAET,PBS AZ Phoenix (KAET) [8.1],Arizona PBS,"Phoenix, AZ",Phoenix,AZ,8.1,140081,25102,6d08b852-2c19-4eb7-9348-a5e15b685357,https://image.pbs.org/stations/kaet-color-single-brand-logo-Bz3Oe7u.png,https://image.pbs.org/stations/kaet-white-single-brand-logo-porNahY.png,Good
PBS_KUAT,KUAT,PBS AZ Tucson (KUAT) [6.1],Arizona Public Media,"Tucson, AZ",Tucson,AZ,6.1,140061,35688,3ac0f71f-c3c4-4e14-92ef-ccd30b4daca6,https://image.pbs.org/stations/kuat-color-single-brand-logo-0ogsLRH.png,https://image.pbs.org/stations/kuat-white-single-brand-logo-zA1qB74.png,Good
PBS_KRCB,KRCB,PBS CA Cotati (KRCB) [22.1],Northern California Public Media,"Cotati, CA",Cotati,CA,22.1,150221,35242,08e0ed35-f9dc-4758-9d6d-82c81adcacda,https://image.pbs.org/stations/krcb-color-single-brand-logo-4eMIGN0.png,https://image.pbs.org/stations/krcb-white-single-brand-logo-vtVrxXm.png,Good
PBS_KEET,KEET,PBS CA Eureka (KEET) [13.1],KEET,"Eureka, CA",Eureka,CA,13.1,150131,35319,1b41a3da-967a-40fa-8243-87740f94dbd5,https://image.pbs.org/stations/keet-color-cobranded-logo-yvaPeTZ.png,https://image.pbs.org/stations/keet-white-cobranded-logo-7HXP3Qz.png,Good
PBS_KVPT,KVPT,PBS CA Fresno (KVPT) [18.1],Valley PBS,"Fresno, CA",Fresno,CA,18.1,150181,45729,75d9f10c-76dd-4fe5-a2d6-0fc55d75f1b4,https://image.pbs.org/stations/kvpt-color-cobranded-logo-JjGFFmY.png,https://image.pbs.org/stations/kvpt-white-cobranded-logo-SVM2ECt.png,Good
PBS_KOCE,KOCE,PBS CA Huntington Beach (KOCE) [50.1],PBS SoCal,"Huntington Beach, CA",Huntington Beach,CA,50.1,150581,34544,057f6e22-7d9c-4fd6-b968-bc17102698de,https://image.pbs.org/stations/koce-color-cobranded-logo-adqN8w0.png,https://image.pbs.org/stations/koce-white-cobranded-logo-k8SOpGb.png,Good
PBS_KLCS,KLCS,PBS CA Los Angeles (KLCS) [58.1],KLCS,"Los Angeles, CA",Los Angeles,CA,58.1,150501,43777,c39fde04-f0c0-4f41-b797-a2c14938238b,https://image.pbs.org/stations/klcs-color-cobranded-logo-3qJ91yi.png,https://image.pbs.org/stations/klcs-white-cobranded-logo-Ib6VgMv.png,Good
PBS_KIXE,KIXE,PBS CA Redding (KIXE) [9.1],KIXE/Channel 9,"Redding, CA",Redding,CA,9.1,150091,42680,327603f6-bcbd-4894-b499-9d02bc13c953,https://image.pbs.org/stations/kixe-color-cobranded-logo-X7SCkrz.png,https://image.pbs.org/stations/kixe-white-cobranded-logo-rpdZAxC.png,Good
PBS_KVIE,KVIE,PBS CA Sacramento (KVIE) [6.1],PBS KVIE,"Sacramento, CA",Sacramento,CA,6.1,150061,34197,4d8fea94-86b8-4663-9c69-4c4cb62257e4,https://image.pbs.org/stations/kvie-color-cobranded-logo-8vr1GYl.png,https://image.pbs.org/stations/kvie-white-cobranded-logo-hFTNktc.png,Good
PBS_KVCR,KVCR,PBS CA San Bernardino (KVCR) [24.1],KVCR,"San Bernardino, CA",San Bernardino,CA,24.1,150241,44023,d5fc9451-1456-4ea1-9476-4db346756a96,https://image.pbs.org/stations/kvcr-color-cobranded-logo-Nb43jnp.png,https://image.pbs.org/stations/kvcr-white-cobranded-logo-u5VyrpJ.png,Good
PBS_KPBS,KPBS,PBS CA San Diego (KPBS) [15.1],KPBS San Diego,"San Diego, CA",San Diego,CA,15.1,150151,29024,78ac901f-6484-42ba-a986-71ef34d2cabf,https://image.pbs.org/stations/kpbs-color-single-brand-logo-hGVAGnN.png,https://image.pbs.org/stations/kpbs-white-single-brand-logo-b6skgk4.png,Good
PBS_KQED,KQED,PBS CA San Francisco (KQED) [9.1],KQED,"San Francisco, CA",San Francisco,CA,9.1,151091,24344,1978f5fc-903b-44c5-8db4-76335078ea74,https://image.pbs.org/stations/kqed-color-single-brand-logo-xuD52le.png,https://image.pbs.org/stations/kqed-white-single-brand-logo-N4UYPK9.png,Good
PBS_KBDI,KBDI,PBS CO Broomfield (KBDI) [12.1],PBS12,"Broomfield, CO",Broomfield,CO,12.1,160121,35856,b4721bf0-b2c5-4568-ba88-69954956292f,https://image.pbs.org/stations/kbdi-color-cobranded-logo-9ntGj1S.png,https://image.pbs.org/stations/kbdi-white-cobranded-logo-LXx9kaY.png,Good
PBS_KRMA,KRMA,PBS CO Denver (KRMA) [6.1],Rocky Mountain PBS,"Denver, CO",Denver,CO,6.1,160061,21723,1cebd1cc-9ca8-49e4-8dfc-40aa63a08c6c,https://image.pbs.org/stations/krma-color-cobranded-logo-5wuRPLn.png,https://image.pbs.org/stations/krma-white-cobranded-logo-jbWBD5L.png,Good
PBS_WEDH,WEDH,PBS CT Hartford (WEDH) [24.1],Connecticut Public,"Hartford, CT",Hartford,CT,24.1,170241,53126,d7096786-0d6d-4b42-b1b6-df7934b92fcb,https://image.pbs.org/stations/wedh-color-single-brand-logo-76l7HY6.png,https://image.pbs.org/stations/wedh-white-single-brand-logo-kLCtD4A.png,Good
PBS_WHUT,WHUT,PBS DC Washington (WHUT) [32.1],WHUT - Howard University Television,"Washington, DC",Washington,DC,32.1,180321,59160,722b847a-5e2a-4d14-9429-2d430b10b1ee,https://image.pbs.org/stations/whut-color-single-brand-logo-K8B1xbK.png,https://image.pbs.org/stations/whut-white-single-brand-logo-ieKfaOV.png,Good
PBS_WXEL,WXEL,PBS FL Boynton Beach (WXEL) [42.1],WXEL South Florida PBS,"Boynton Beach, FL",Boynton Beach,FL,42.1,200421,24098,6f553836-7e24-445a-8c3c-cc418aaba9dc,https://image.pbs.org/stations/wxel-color-cobranded-logo-q5DODDu.png,https://image.pbs.org/stations/wxel-white-cobranded-logo-UdbdfIp.png,Good
PBS_WGCU,WGCU,PBS FL Ft Myers (WGCU) [30.1],WGCU Public Media,"Ft Myers, FL",Ft Myers,FL,30.1,200301,34337,19aacc3d-896b-4426-b319-ea0082ef6369,https://image.pbs.org/stations/wgcu-color-cobranded-logo-4WExUqg.png,https://image.pbs.org/stations/wgcu-white-cobranded-logo-gGSUcLj.png,Good
